"uniqueURL","upvote","answer","referenceCount"
"https://stackoverflow.com//questions/1949/are-multiple-datacontext-classes-ever-appropriate","32","5","6"
"https://stackoverflow.com//questions/1936/how-to-redirecttoaction-in-asp-net-mvc-without-losing-request-data","123","6","91"
"https://stackoverflow.com//questions/1908/how-to-map-a-latitude-longitude-to-a-distorted-map","25","4","6"
"https://stackoverflow.com//questions/1898/import-csv-file-to-strongly-typed-data-structure-in-net","106","11","68"
"https://stackoverflow.com//questions/1873/triple-quotes-how-do-i-delimit-a-databound-javascript-string-parameter-in-asp-n","45","5","23"
"https://stackoverflow.com//questions/1854/python-what-os-am-i-running-on","791","26","392"
"https://stackoverflow.com//questions/1848/locating-text-within-image","31","4","6"
"https://stackoverflow.com//questions/1836/wiggling-the-mouse","39","6","14"
"https://stackoverflow.com//questions/1829/how-do-i-make-a-menu-that-does-not-require-the-user-to-press-enter-to-make-a-s","27","4","15"
"https://stackoverflow.com//questions/1790/federated-synced-subversion-servers","20","5","3"
"https://stackoverflow.com//questions/1762/why-is-my-ternary-expression-not-working","26","4","1"
"https://stackoverflow.com//questions/1760/net-unit-testing-packages","63","11","11"
"https://stackoverflow.com//questions/1746/how-can-i-get-at-the-matches-when-using-preg-replace-in-php","58","4","20"
"https://stackoverflow.com//questions/1734/any-experiences-with-protocol-buffers","35","4","2"
"https://stackoverflow.com//questions/1711/what-is-the-single-most-influential-book-every-programmer-should-read","1438","214","1.1"
"https://stackoverflow.com//questions/1709/how-to-pass-enumerated-values-to-a-web-service","24","8","18"
"https://stackoverflow.com//questions/1683/asp-net-built-in-user-profile-vs-old-style-user-class-tables","24","5","3"
"https://stackoverflow.com//questions/1679/how-do-i-calculate-these-statistics","16","6","11"
"https://stackoverflow.com//questions/1669/learning-to-write-a-compiler","697","38","332"
"https://stackoverflow.com//questions/1644/what-good-technology-podcasts-are-out-there","526","97","158"
"https://stackoverflow.com//questions/1625/xml-editing-viewing-software","40","17","18"
"https://stackoverflow.com//questions/1623/folders-or-projects-in-a-visual-studio-solution","31","7","5"
"https://stackoverflow.com//questions/1615/how-can-i-modify-xfdl-files-update-1","17","3","8"
"https://stackoverflow.com//questions/1610/can-i-logically-reorder-columns-in-a-table","97","8","80"
"https://stackoverflow.com//questions/1607/mechanisms-for-tracking-db-schema-changes","136","20","42"
"https://stackoverflow.com//questions/1600/what-is-the-best-way-to-copy-a-database","28","5","4"
"https://stackoverflow.com//questions/1598/what-are-the-correct-pixel-dimensions-for-an-apple-touch-icon","74","7","50"
"https://stackoverflow.com//questions/1584/linux-shell-equivalent-on-iis","21","8","3"
"https://stackoverflow.com//questions/1535/reducing-duplicate-error-handling-code-in-c","40","4","2"
"https://stackoverflow.com//questions/1528/hiding-inherited-members","45","9","28"
"https://stackoverflow.com//questions/1508/different-distributed-version-control-systems-working-together","18","4","701"
"https://stackoverflow.com//questions/1505/how-do-i-give-my-websites-an-icon-for-iphone","31","1","8"
"https://stackoverflow.com//questions/1503/integrating-visual-studio-test-project-with-cruise-control","20","1","4"
"https://stackoverflow.com//questions/1496/what-are-the-preferred-versions-of-vim-and-emacs-on-mac-os-x","35","13","10"
"https://stackoverflow.com//questions/1476/how-do-you-express-binary-literals-in-python","381","8","281"
"https://stackoverflow.com//questions/1457/modify-address-bar-url-in-ajax-app-to-match-current-state","167","8","74"
"https://stackoverflow.com//questions/1453/using-object-property-as-default-for-method-property","28","5","2"
"https://stackoverflow.com//questions/1451/what-is-the-best-way-to-handle-multiple-permission-types","25","5","4"
"https://stackoverflow.com//questions/1417/how-can-i-get-the-authenticated-user-name-under-apache-using-plain-http-authenti","53","1","23"
"https://stackoverflow.com//questions/1409/bandwith-throttling-in-iis-6-by-ip-address","20","1","2"
"https://stackoverflow.com//questions/1408/make-xampp-apache-serve-file-outside-of-htdocs-folder","319","6","264"
"https://stackoverflow.com//questions/1401/asp-net-custom-client-side-validation","35","4","4"
"https://stackoverflow.com//questions/1390/is-windows-server-2008-server-core-appropriate-for-a-sql-server-instance","27","6","2"
"https://stackoverflow.com//questions/1387/what-are-the-current-best-options-for-parallelizing-a-cpu-intensive-net-app","22","5","927"
"https://stackoverflow.com//questions/1383/what-is-unit-testing","225","20","48"
